feature_000,feature_001,feature_002,feature_003,feature_004,feature_005,feature_006,feature_007,feature_008,feature_009,feature_010,feature_011,feature_012,feature_013,feature_014,feature_015,feature_016,feature_017,feature_018,feature_019,feature_020,feature_021,feature_022,feature_023,feature_024,feature_025,feature_026,feature_027,feature_028,feature_029,feature_030,feature_031,feature_032,feature_033,feature_034,feature_035,feature_036,feature_037,feature_038,feature_039,feature_040,feature_041,feature_042,feature_043,feature_044,feature_045,feature_046,feature_047,feature_048,feature_049,feature_050,feature_051,feature_052,feature_053,feature_054,feature_055,feature_056,feature_057,feature_058,feature_059,feature_060,feature_061,feature_062,feature_063,feature_064,feature_065,feature_066,feature_067,feature_068,feature_069,feature_070,feature_071,feature_072,feature_073,feature_074,feature_075,feature_076,feature_077,feature_078,feature_079,feature_080,feature_081,feature_082,feature_083,feature_084,feature_085,feature_086,feature_087,feature_088,feature_089,feature_090,feature_091,feature_092,feature_093,feature_094,feature_095,feature_096,feature_097,feature_098,feature_099,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,label,display_label,path
0.93127537,0.34632495,0.0018456278,0.00059627974,0.0,0.0,0.0,0.0,0.0,0.0,8.518282e-05,0.0,0.0,0.000113577094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00079503964,0.0,0.0,0.0035776785,0.0,0.0,0.00028394273,0.00036912557,0.022175929,0.0066726543,0.110595696,0.00940745,0.0,0.0,0.0,0.0,0.0011588888,0.008248562,0.05637653,0.3815471,0.42762998,0.32435253,0.320535,0.34718946,0.36191416,0.2629996,0.21609868,0.19530685,0.16101737,0.11841117,0.065034114,0.032926075,0.01970111,0.0036130063,0.0036811763,0.0004090196,0.0023859476,0.0016360783,0.0027267972,0.0008862091,0.0002045098,0.0,0.09509706,0.15145056,0.012635206,0.014440236,0.018737925,0.043320708,0.076498866,0.065152965,0.057073314,0.06437939,0.06111314,0.08973575,0.11663929,0.08062465,0.06790349,0.07366239,0.07950725,0.08019488,0.082601584,0.105379336,0.12532061,0.13030593,0.17250924,0.2339662,0.21866642,0.22829325,0.2784043,0.31381726,0.4394817,0.46870598,0.26808986,0.079593204,0.014612143,0.051817603,0.030731823,0.019172512,0.011599171,0.008151308,0.0068359375,0.0074936226,0.008769132,0.011061065,0.013392857,0.018753987,0.02473294,0.03216677,0.03001435,0.0182956,0.0145886475,0.009685906,0.009925064,0.0073740436,0.0074936226,0.0091478,0.01297433,0.020109216,0.027901785,0.059111927,0.528699,61.65469,67.897865,36.745956,70.26682,87.884674,67.897865,77.29989,70.26682,0.20407459,0.19443208,0.2742528,0.188039,0.16401103,0.19443208,0.20050187,0.188039,0.024058012,0.023748804,0.029416233,0.023705311,0.021328874,0.023748804,0.026380062,0.023705311,0.990429,0.9894569,0.9943412,0.989089,0.9862414,0.9894569,0.98809236,0.989089,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_1.jpg
0.87674767,0.0013258726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010376394,0.0,0.0063411295,0.006658186,0.0061393664,0.018735155,0.0008070529,0.05067139,0.4777753,0.0,0.0,0.0,0.0006942319,0.005962227,0.02425728,0.05178153,0.09167945,0.47803992,0.7917919,0.34380814,0.107197575,0.042634007,0.018989284,0.0149872415,0.013312917,0.014333847,0.010005107,0.009392549,0.008044923,0.0072281794,0.0044512516,0.0037570198,0.002858602,0.0015518125,0.0012251151,0.00049004605,8.167434e-05,0.00016334868,0.0,4.083717e-05,0.0002858602,0.0018239447,0.0013896722,0.0006079816,0.062448394,0.073305205,0.058626793,0.05506576,0.060363885,0.07877704,0.09180522,0.08676766,0.09649536,0.08694136,0.11013152,0.13280055,0.1684109,0.19880998,0.25326777,0.25187808,0.3148476,0.37911993,0.3981411,0.34681007,0.26056352,0.21922079,0.18656349,0.16224423,0.11325828,0.06270896,0.025187807,0.012420195,0.0072089243,0.0693758,0.041414224,0.020627392,0.010901626,0.005998884,0.0038663903,0.0033083546,0.0033681442,0.003786671,0.0039859693,0.003786671,0.004942602,0.00520169,0.006915657,0.0045041456,0.005839445,0.00390625,0.0051419004,0.005301339,0.0057796557,0.007593272,0.010164222,0.02092634,0.04257015,0.069236286,0.6315569,101.482346,118.91568,79.36929,105.13409,122.95904,118.91568,124.58695,105.13409,0.17880838,0.16330023,0.19392379,0.16346301,0.15557645,0.16330023,0.15369894,0.16346301,0.018469002,0.017753916,0.019595772,0.018144796,0.017521309,0.017753916,0.017595612,0.018144796,0.9632199,0.95662785,0.97117156,0.9616572,0.9552511,0.95662785,0.9544936,0.9616572,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_10.jpg
0.92236555,0.054429237,0.0011838571,0.0013247924,0.0006764897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025368365,0.00016912243,0.055500347,0.37841144,0.0,8.3409264e-05,4.1704632e-05,4.1704632e-05,0.0004170463,0.0017932992,0.016640149,0.11197694,0.5541294,0.7003042,0.37463272,0.20852315,0.072440945,0.020810612,0.010092521,0.006422513,0.004879442,0.0032529612,0.0015430714,0.0011677297,0.0005004556,0.00095920655,0.00054216024,0.00033363706,0.0001251139,0.0004170463,0.00020852315,4.1704632e-05,4.1704632e-05,8.3409264e-05,0.0,0.0001251139,0.00029698477,0.0073058256,0.01657175,0.01894763,0.01674994,0.01579959,0.016452957,0.027797775,0.051675353,0.07656267,0.10079663,0.12823802,0.12134798,0.13013873,0.121526174,0.15864927,0.22778733,0.48147172,0.6585935,0.38512987,0.15116525,0.046745405,0.013186124,0.0040983898,0.0014849239,0.0009503513,0.0004157787,0.00029698477,5.9396956e-05,0.0,5.9396956e-05,0.0,0.06694435,0.03774713,0.022779815,0.012137277,0.006915657,0.005301339,0.0037468113,0.0039859693,0.0044044964,0.0054009887,0.005879305,0.0073142536,0.006875797,0.009446748,0.0061981822,0.0072345342,0.0056800065,0.005879305,0.00518176,0.005600287,0.0073939734,0.010084502,0.022819676,0.03796636,0.06814015,0.6189413,59.506565,63.072914,33.976036,67.73955,76.74007,63.072914,68.70686,67.73955,0.20098183,0.19214946,0.2703566,0.19300109,0.17750075,0.19214946,0.19739094,0.19300109,0.02721649,0.026857343,0.031895302,0.026611771,0.025899354,0.026857343,0.026931934,0.026611771,0.95819145,0.9557467,0.97625977,0.95247066,0.94584084,0.9557467,0.95205384,0.95247066,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_100.jpg
0.9162022,0.33003315,0.013813136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041498692,0.22684963,0.0,0.0,0.0,0.0001363362,0.008180171,0.060896832,0.26558292,0.58479136,0.6555953,0.34938422,0.15328734,0.070485815,0.04335491,0.03149366,0.016451234,0.009316307,0.0068622553,0.0050898846,0.004680876,0.00395375,0.0038174135,0.0034992956,0.0014088074,0.00095435337,0.00045445398,0.0001817816,0.0003181178,9.08908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0063788495,0.09440697,0.09931378,0.055054378,0.051717747,0.060451865,0.07350397,0.07615365,0.08704676,0.10058955,0.10108023,0.11442675,0.16408363,0.17988355,0.18655682,0.19646856,0.21982497,0.23366216,0.22394668,0.24386832,0.2432795,0.22070819,0.20137537,0.19735178,0.21491815,0.263103,0.3013761,0.3101102,0.24170932,0.16172837,0.072285555,0.042091835,0.02072704,0.009646046,0.0051419004,0.004125478,0.0034080038,0.0036073022,0.0036870218,0.0040656887,0.0054009887,0.0056999363,0.0068359375,0.008151308,0.0055604274,0.0070551657,0.0041852677,0.0049824617,0.004922672,0.005082111,0.006995376,0.009964923,0.020308513,0.04147401,0.06626674,0.62832826,155.13586,158.18971,79.39808,158.34894,166.85718,158.18971,154.44312,158.34894,0.13688524,0.12848268,0.18465768,0.13604926,0.12239759,0.12848268,0.13432108,0.13604926,0.013288524,0.013107499,0.0157009,0.0132674165,0.012867664,0.013107499,0.013290683,0.0132674165,0.96778053,0.9670483,0.9835272,0.96701413,0.9652066,0.9670483,0.9678694,0.96701413,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_101.jpg
0.5075265,0.8613613,0.0008596974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021742025,0.0,0.0,4.556026e-05,0.0,9.112052e-05,0.0005922834,0.0051483093,0.05061745,0.14356038,0.30411473,0.58608717,0.6216242,0.3721362,0.11481185,0.0457425,0.022005606,0.011435625,0.004738267,0.0017312899,0.0007745244,0.0004556026,9.112052e-05,4.556026e-05,9.112052e-05,0.0,0.0,9.112052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017246466,0.0009772998,0.0024145052,0.0043691047,0.006323704,0.006841098,0.009887974,0.011497644,0.012532432,0.0143720545,0.019316042,0.022190452,0.025754722,0.03288326,0.041793935,0.06513415,0.10129424,0.15849502,0.30382523,0.47692224,0.52049834,0.48284355,0.32584321,0.14705487,0.055878546,0.022075476,0.00839328,0.003449293,0.0009198115,0.0005748822,0.08075574,0.04149394,0.026267538,0.012476084,0.00655692,0.0038265307,0.0026307397,0.0023716518,0.001953125,0.0025310905,0.0024314413,0.0030691964,0.0033083546,0.006098533,0.0032884248,0.0055803573,0.0035275829,0.0045240754,0.0044044964,0.00518176,0.006796078,0.011220504,0.024354273,0.044682715,0.072265625,0.6184032,142.48619,209.74516,138.35648,179.99678,201.87357,209.74516,262.89346,179.99678,0.122185834,0.10659254,0.13462895,0.1096424,0.10565401,0.10659254,0.09701104,0.1096424,0.021957386,0.020974342,0.023043752,0.02096848,0.020613851,0.020974342,0.01987461,0.02096848,0.86179215,0.7954091,0.8661183,0.8244063,0.80259293,0.7954091,0.7446847,0.8244063,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_102.jpg
0.520513,0.85345775,0.0008953137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022382842,0.0,0.0,0.00011191421,0.0,0.0,0.0,0.0,0.0010072279,0.0017346703,0.02590814,0.0,0.0,0.0,0.0,0.00049208745,0.0012028804,0.00770937,0.03947635,0.10219016,0.123131216,0.101534046,0.11104774,0.19191411,0.3940527,0.5400933,0.5332588,0.3964038,0.15347661,0.03466483,0.00770937,0.0027338192,0.0010388513,0.0007654694,0.00032805832,0.00016402916,5.4676384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00049929647,0.010069146,0.017475378,0.0237998,0.019139698,0.02038794,0.018806834,0.019888643,0.021136884,0.022634774,0.0284599,0.053175077,0.12024724,0.13048281,0.1841572,0.21211779,0.21669467,0.26296282,0.23683296,0.29749748,0.27028582,0.3435992,0.38620582,0.35325226,0.25555658,0.16277066,0.15802734,0.16210492,0.10826412,0.042440202,0.012482412,0.0039943717,0.060447227,0.027742347,0.027662627,0.021982621,0.015983738,0.012376435,0.011579241,0.011479592,0.012296716,0.013392857,0.016721142,0.019790338,0.021803252,0.023497289,0.018833706,0.017099809,0.013233419,0.013970823,0.012934471,0.014508928,0.016202966,0.022640307,0.026845504,0.023935746,0.056261957,0.46677694,37.82261,47.3649,23.403267,54.094692,79.48231,47.3649,62.762005,54.094692,0.2465663,0.21733847,0.31932524,0.22604294,0.17536601,0.21733847,0.21339145,0.22604294,0.023756001,0.021992741,0.027309671,0.022094749,0.019579163,0.021992741,0.0213244,0.022094749,0.98511523,0.9813274,0.9908497,0.97867167,0.9684573,0.9813274,0.97541744,0.97867167,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_103.jpg
0.82255983,0.025545562,0.0006874868,0.00083222083,0.0002532846,0.00054275274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004342022,3.6183515e-05,0.0,0.0,0.0,0.0,0.0007598538,0.0010131384,0.0047400407,0.021022623,0.1512109,0.022506146,0.012989882,0.0004703857,0.0070919693,0.0013026065,0.013713553,0.23425208,0.49357933,0.0033814975,0.0,0.00075144385,0.0015565623,0.004401314,0.029037938,0.124900706,0.4211306,0.62987095,0.45215452,0.31893423,0.24421926,0.11663482,0.039880197,0.013311291,0.0037035446,0.028071795,0.1069734,0.0009661421,0.12592052,0.004669687,0.0093930485,0.004669687,0.0044549885,0.0011271657,0.0004293965,0.0006977693,0.0008051184,0.00010734912,0.0,0.0,0.0010198166,0.029295256,0.44648275,0.010940734,0.008997315,0.010005014,0.009933035,0.0114445845,0.0114445845,0.012884155,0.014323724,0.020801792,0.035845302,0.02576831,0.026488094,0.04549042,0.06859553,0.1299932,0.27186286,0.33815506,0.38623673,0.4067506,0.33513197,0.23443402,0.18512875,0.15489776,0.15021916,0.12351514,0.07118675,0.025336437,0.006837959,0.002375291,0.00079176365,0.049984057,0.029555963,0.017817283,0.009187659,0.006337691,0.0056999363,0.005739796,0.0060387435,0.008470185,0.011100925,0.014887596,0.023018973,0.031907685,0.0310507,0.014568718,0.01704002,0.008450255,0.013352998,0.00653699,0.006098533,0.0075135524,0.012157206,0.021305006,0.031568877,0.11286272,0.49774793,69.698975,73.13805,35.608402,78.10425,100.98826,73.13805,77.83985,78.10425,0.2558229,0.2488772,0.3227475,0.2494605,0.2231041,0.2488772,0.25637078,0.2494605,0.062610656,0.06157133,0.06781822,0.061396416,0.058057524,0.06157133,0.06412413,0.061396416,0.9860796,0.9853839,0.9929502,0.9843912,0.97963357,0.9853839,0.9845808,0.9843912,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_104.jpg
0.83023554,0.5434345,0.00029868886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006869844,0.124045484,0.0,0.0,0.0,0.0,5.3795404e-05,0.00016138621,0.0022056117,0.023669977,0.10156572,0.2176024,0.34493613,0.49190518,0.5268184,0.44424245,0.28936547,0.13040006,0.061864715,0.031793084,0.016246213,0.008123106,0.004249837,0.00199043,0.0010221127,0.00043036323,0.00010759081,0.00032277242,5.3795404e-05,5.3795404e-05,0.0,5.3795404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001475967,0.004206506,0.012914712,0.03881793,0.085532285,0.10966435,0.1702528,0.1656035,0.11010714,0.06641851,0.05903868,0.060145654,0.064278364,0.07571711,0.094535686,0.124202624,0.19106393,0.29858813,0.39637095,0.4471442,0.45031753,0.3453025,0.21615537,0.11505163,0.075354755,0.04179289,0.021803252,0.009626116,0.0055803573,0.0037667411,0.0039859693,0.0038265307,0.0033681442,0.0036870218,0.0046635843,0.005082111,0.0059390943,0.006915657,0.0045440053,0.0062579717,0.0045440053,0.005301339,0.0051419004,0.0064772004,0.008828922,0.014508928,0.02455357,0.037448183,0.06499123,0.6220105,158.04362,271.03116,239.5665,269.83633,303.425,271.03116,317.4455,269.83633,0.13568108,0.09777846,0.10681986,0.102661744,0.09907876,0.09777846,0.09097637,0.102661744,0.016170263,0.014074067,0.01457971,0.014280017,0.0140011795,0.014074067,0.013589585,0.014280017,0.9398488,0.89636976,0.9084027,0.8968327,0.884529,0.89636976,0.8780486,0.8968327,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_108.jpg
0.41618797,0.909207,7.994902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029314644,0.011406061,0.0,0.0,0.0,0.0,0.00014835034,0.0006923016,0.0048955614,0.036889784,0.13757022,0.22608593,0.22440462,0.2892337,0.5039956,0.6619887,0.31262362,0.06705435,0.00899992,0.0020769048,0.0015329536,0.0011868028,0.0010879026,0.00024725057,0.00014835034,4.9450115e-05,9.890023e-05,9.890023e-05,0.0,4.9450115e-05,0.0,4.9450115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012804526,0.00032011315,0.0010883847,0.007234557,0.015237385,0.033547856,0.08950363,0.19193985,0.2931596,0.35897487,0.43042412,0.44771025,0.36409667,0.30205876,0.26748654,0.20154323,0.11773761,0.05211442,0.023496304,0.009603394,0.004993765,0.08237006,0.04075654,0.025569994,0.013851244,0.006915657,0.0038663903,0.0031489157,0.0022122131,0.002471301,0.0016541773,0.0019132653,0.0019929847,0.0024912308,0.0053611286,0.0023716518,0.0045440053,0.002232143,0.0040856185,0.0034877232,0.0047831633,0.006895727,0.012376435,0.023756377,0.044622928,0.07728795,0.6189812,154.45828,201.72055,97.65022,156.5457,206.65965,201.72055,203.92189,156.5457,0.13225882,0.11128352,0.15342551,0.12818348,0.107868455,0.11128352,0.108742304,0.12818348,0.022012804,0.02045038,0.024009755,0.021878323,0.020317152,0.02045038,0.02028091,0.021878323,0.8273114,0.774172,0.8910935,0.82473904,0.7680133,0.774172,0.77228665,0.82473904,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_109.jpg
0.003920551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021515218,0.100978084,0.98931754,0.10506598,0.0,0.0,0.0,0.0,0.0,4.9920363e-05,0.007288373,0.06469679,0.2569401,0.51093495,0.59150636,0.44653764,0.28259918,0.16808186,0.09275203,0.04712482,0.01946894,0.008286781,0.004692514,0.0020966553,0.0009984073,0.0002995222,0.0001497611,0.00019968145,0.0,4.9920363e-05,4.9920363e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018964737,0.003034358,0.005689421,0.008534132,0.023769137,0.07611181,0.17991214,0.21701981,0.20127907,0.25766757,0.29047656,0.35002583,0.4215229,0.47171623,0.39882842,0.19400926,0.056262054,0.013844258,0.001517179,0.00037929474,0.0,6.321579e-05,0.0,6.321579e-05,0.0,0.0,0.0,0.06728316,0.04037787,0.022460938,0.011001276,0.0064373408,0.00516183,0.0043646363,0.0046237246,0.003627232,0.004125478,0.0047632335,0.005879305,0.006218112,0.008470185,0.0059191645,0.008091518,0.0066964286,0.006915657,0.0070551657,0.008988361,0.009406888,0.014070472,0.022560587,0.033541933,0.059430804,0.6225287,58.90737,76.933174,56.47818,78.42146,92.69591,76.933174,90.6586,78.42146,0.1740551,0.15300964,0.17896308,0.14915001,0.14108798,0.15300964,0.14489977,0.14915001,0.02462025,0.02339629,0.025335897,0.023106115,0.022309355,0.02339629,0.022768432,0.023106115,0.9233544,0.8990592,0.9257891,0.89710236,0.87959874,0.8990592,0.8797951,0.89710236,acne,acne,/Users/vaishnavverma/Downloads/Hybrid-Dermatologist/data/raw/Multi-Class Skin Condition Image Dataset (MSC-6)/train/class1_acne/Acne_110.jpg
